iter	Logloss
0	0.6905773296
1	0.688069173
2	0.6850175617
3	0.6829139371
4	0.6804325246
5	0.6778463338
6	0.6756632829
7	0.6731864132
8	0.670904519
9	0.6683792902
10	0.665756537
11	0.662771383
12	0.6605866468
13	0.6584049147
14	0.655956108
15	0.6533093218
16	0.6514649317
17	0.6494718004
18	0.6472843532
19	0.6452656502
20	0.6430864094
21	0.6412238479
22	0.6396151722
23	0.6379267039
24	0.6363501944
25	0.634438541
26	0.6323955852
27	0.6308206144
28	0.6291095051
29	0.6273105434
30	0.6256709471
31	0.6243591675
32	0.6231704107
33	0.6218115176
34	0.6203063745
35	0.6186397411
36	0.6170578095
37	0.6156908564
38	0.6143773549
39	0.6131867298
40	0.6117568365
41	0.6103702834
42	0.6088131542
43	0.6074865005
44	0.6060722873
45	0.6048706714
46	0.6039079206
47	0.602548368
48	0.6015211016
49	0.6003805575
50	0.5991693064
51	0.5982635242
52	0.5972605839
53	0.5957208201
54	0.5945318069
55	0.5935326401
56	0.5925377231
57	0.5915356621
58	0.5904730789
59	0.5893284316
60	0.588396638
61	0.5875214099
62	0.5862532635
63	0.5854507575
64	0.584557871
65	0.5833204986
66	0.5823910497
67	0.581586492
68	0.5805491142
69	0.5797456556
70	0.5788479699
71	0.5779594431
72	0.577277029
73	0.5764559486
74	0.5754516895
75	0.5744758963
76	0.5735854645
77	0.5729480757
78	0.5721682472
79	0.5712179891
80	0.5704575043
81	0.5697403229
82	0.5690950575
83	0.5683275752
84	0.5675680428
85	0.5668170833
86	0.5659743145
87	0.5652531398
88	0.5645091777
89	0.5638312698
90	0.5631028046
91	0.5624760769
92	0.5619524787
93	0.5612376787
94	0.560519618
95	0.5598117421
96	0.5590838264
97	0.5583293498
98	0.5576970168
99	0.5572423305
100	0.5566051982
101	0.5559404059
102	0.5555068585
103	0.5547501471
104	0.553925623
105	0.5532792951
106	0.5527483699
107	0.5521874033
108	0.5517041045
109	0.5509796692
110	0.5502791937
111	0.5497235027
112	0.54928032
113	0.5486888725
114	0.5481058146
115	0.5476484539
116	0.5471181881
117	0.5464299489
118	0.545906937
119	0.5453696005
120	0.5449233404
121	0.54430372
122	0.5438984554
123	0.5434214579
124	0.5429303191
125	0.5425435189
126	0.5420263687
127	0.5414840863
128	0.5409575573
129	0.540489096
130	0.5400393922
131	0.5393946397
132	0.5387894904
133	0.5383193805
134	0.5376091232
135	0.5370698817
136	0.5363505754
137	0.5356841711
138	0.5350985853
139	0.5348038141
140	0.5344480077
141	0.533893086
142	0.5334401949
143	0.5329715871
144	0.5325958508
145	0.5321308699
146	0.5316273482
147	0.5312430392
148	0.5305931943
149	0.5301077706
150	0.5295107545
151	0.5291046839
152	0.5285161672
153	0.5281032457
