weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,f1_win_rate,f2_win_rate
6,72.0,3.97,5.51,4,49,56,1.2,37,1.55,61,155.0,70.0,9.67,8.57,2,55,54,0.0,0,0.0,80,155.0,25,6,0,21,2,0,29,30,69,71,0.8064516129032258,0.9130434782608695
10,75.0,2.34,3.56,2,39,57,1.2,55,0.58,36,170.0,76.0,2.25,2.9,2,50,46,0.7,39,2.86,61,170.0,30,13,0,19,8,1,34,30,74,71,0.6976744186046512,0.6785714285714286
7,80.0,2.6,4.46,5,50,66,0.4,0,0.0,85,185.0,74.0,2.85,4.05,4,41,66,0.6,45,1.43,80,185.0,18,0,0,14,4,1,29,25,76,72,1.0,0.7368421052631579
14,67.0,4.73,4.8,2,38,53,0.5,30,0.35,38,115.0,62.0,3.88,3.35,2,53,48,1.2,50,1.88,57,115.0,8,7,0,17,7,0,31,32,67,63,0.5333333333333333,0.7083333333333334
7,79.0,1.98,1.91,2,44,53,0.9,44,3.7,53,185.0,74.0,2.9,2.93,2,50,57,0.8,34,1.45,59,185.0,11,4,0,21,13,0,28,37,74,72,0.7333333333333333,0.6176470588235294
10,77.0,2.62,2.55,5,48,46,0.0,18,0.95,55,170.0,70.0,1.97,2.92,2,46,68,0.0,42,1.22,72,170.0,13,6,0,16,2,0,35,34,73,71,0.6842105263157895,0.8888888888888888
3,66.0,2.55,2.57,2,43,56,1.1,23,0.62,44,125.0,65.0,3.04,1.83,4,29,55,0.6,42,5.15,47,125.0,19,7,0,23,10,0,34,33,66,64,0.7307692307692307,0.696969696969697
7,77.0,1.81,2.84,4,44,58,0.1,40,1.39,85,185.0,74.0,2.76,3.0,2,40,55,0.0,27,1.03,77,185.0,21,4,0,17,7,0,29,31,73,73,0.84,0.7083333333333334
6,71.0,3.05,3.09,2,43,57,0.7,38,2.43,50,155.0,73.0,3.56,2.67,4,43,43,0.4,27,1.25,45,155.0,17,3,0,13,6,0,32,32,70,72,0.85,0.6842105263157895
13,69.0,5.31,3.56,0,33,53,0.0,25,0.4,0,125.0,67.0,3.77,4.08,2,41,58,0.0,50,0.7,71,125.0,3,3,0,5,3,0,29,27,66,65,0.5,0.625
10,75.0,2.25,2.06,4,38,60,0.5,39,1.98,84,170.0,75.0,2.96,2.84,2,40,62,0.8,44,1.66,66,170.0,35,12,0,17,7,0,37,29,74,74,0.7446808510638298,0.7083333333333334
4,75.0,3.25,2.33,2,56,59,0.0,75,1.73,100,245.0,81.0,1.87,1.68,2,38,48,0.4,33,0.41,58,250.0,9,1,0,10,2,0,32,26,73,77,0.9,0.8333333333333334
0,67.0,2.94,3.52,2,35,64,0.1,20,0.52,73,135.0,69.0,3.73,3.13,4,50,55,1.3,60,3.32,71,135.0,22,8,1,10,4,0,29,31,66,67,0.7096774193548387,0.7142857142857143
0,73.0,4.12,4.12,2,51,52,0.5,41,2.71,100,135.0,67.0,4.05,6.0,4,51,54,0.4,25,0.37,70,135.0,8,6,0,13,3,0,37,33,68,66,0.5714285714285714,0.8125
6,77.0,3.18,3.9,2,42,52,0.9,42,3.23,74,170.0,75.0,4.16,4.01,2,43,60,0.1,44,0.49,80,155.0,18,5,0,20,8,0,26,32,69,71,0.782608695652174,0.7142857142857143
2,70.0,3.65,4.59,2,49,61,0.5,50,1.06,60,145.0,68.0,2.39,3.6,2,39,69,0.3,31,2.36,65,145.0,26,11,0,22,7,1,35,37,68,66,0.7027027027027027,0.7333333333333333
4,78.0,2.57,3.37,4,59,57,0.0,66,0.96,36,264.0,78.0,5.76,5.81,2,43,51,0.0,0,0.0,77,250.0,8,2,0,11,6,0,31,29,73,76,0.8,0.6470588235294118
7,76.0,2.19,4.44,2,47,57,0.1,40,0.83,68,205.0,78.0,1.91,1.66,2,39,56,0.0,32,2.55,43,185.0,21,7,0,22,6,0,34,37,74,73,0.75,0.7857142857142857
0,71.0,1.95,4.85,2,50,66,0.8,29,1.91,51,135.0,71.0,4.74,3.41,2,45,55,0.5,48,3.72,78,135.0,18,3,0,15,2,0,29,26,67,67,0.8571428571428571,0.8823529411764706
6,71.0,2.89,2.78,4,40,59,2.0,42,1.77,47,155.0,75.0,4.72,4.73,5,44,55,0.4,33,0.4,78,155.0,31,13,0,20,8,0,35,28,68,72,0.7045454545454546,0.7142857142857143
10,74.0,1.86,2.89,4,40,63,0.2,44,2.13,58,170.0,72.0,3.03,1.81,2,31,59,0.1,52,3.72,66,170.0,14,3,0,15,6,0,35,31,73,69,0.8235294117647058,0.7142857142857143
0,68.0,2.2,3.75,2,37,55,0.0,43,6.75,80,135.0,69.0,3.79,2.96,2,40,65,0.2,49,6.53,71,135.0,9,4,0,15,3,0,27,26,66,66,0.6923076923076923,0.8333333333333334
10,73.0,3.23,2.91,2,40,49,0.3,61,1.32,62,170.0,75.0,3.19,4.16,2,47,62,0.3,12,0.32,85,170.0,24,8,1,15,3,1,34,25,71,72,0.7272727272727273,0.7894736842105263
5,76.0,3.35,4.26,2,50,55,0.1,41,4.49,28,205.0,79.0,2.18,4.45,2,46,59,0.0,50,4.98,83,205.0,10,7,0,14,4,0,38,29,74,75,0.5882352941176471,0.7777777777777778
10,73.0,2.45,2.7,2,36,59,1.1,25,0.68,64,170.0,73.0,3.2,2.23,4,36,58,0.3,48,1.65,63,170.0,17,5,0,34,10,2,29,34,72,71,0.7727272727272727,0.7391304347826086
11,67.0,3.33,3.39,2,45,64,0.9,26,1.14,64,135.0,69.0,2.63,4.34,2,49,55,0.7,47,2.33,80,135.0,10,8,0,19,4,0,30,30,67,68,0.5555555555555556,0.8260869565217391
7,71.0,3.01,3.75,4,43,59,0.1,35,0.8,62,185.0,72.0,2.81,2.54,2,46,62,1.4,38,2.46,60,185.0,16,5,0,26,8,0,27,39,69,73,0.7619047619047619,0.7647058823529411
14,64.0,3.2,3.55,5,44,51,1.8,38,1.53,28,115.0,63.0,4.07,3.24,2,32,64,0.9,8,0.46,0,115.0,4,5,0,7,1,0,27,25,63,64,0.4444444444444444,0.875
0,67.0,4.27,5.36,2,40,56,0.6,58,0.56,67,135.0,66.0,5.98,5.01,5,45,54,0.6,26,1.25,84,135.0,31,9,0,19,10,0,28,32,63,66,0.775,0.6551724137931034
7,74.0,2.83,1.59,4,46,50,0.6,60,1.02,53,185.0,74.0,1.57,2.59,4,53,61,0.4,65,1.21,75,185.0,26,14,0,24,8,0,41,40,72,73,0.65,0.75
7,78.0,2.44,1.9,4,42,53,0.5,53,2.69,84,185.0,74.0,1.8,3.16,4,52,64,0.8,57,1.07,53,185.0,14,8,0,9,2,0,33,28,73,73,0.6363636363636364,0.8181818181818182
4,74.0,6.08,3.98,2,51,52,0.0,37,1.54,100,264.0,80.0,3.61,3.53,2,51,49,2.4,39,2.69,20,240.0,14,6,0,57,13,1,27,41,75,74,0.7,0.8028169014084507
