weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,win_rate_diff
6,72.0,3.97,5.51,4,49,56,1.2,37,1.55,61,155.0,70.0,9.67,8.57,2,55,54,0.0,0,0.0,80,155.0,25,6,0,21,2,0,29,30,69,71,-0.10659186535764376
10,75.0,2.34,3.56,2,39,57,1.2,55,0.58,36,170.0,76.0,2.25,2.9,2,50,46,0.7,39,2.86,61,170.0,30,13,0,19,8,1,34,30,74,71,0.019102990033222578
7,80.0,2.6,4.46,5,50,66,0.4,0,0.0,85,185.0,74.0,2.85,4.05,4,41,66,0.6,45,1.43,80,185.0,18,0,0,14,4,1,29,25,76,72,0.26315789473684215
14,67.0,4.73,4.8,2,38,53,0.5,30,0.35,38,115.0,62.0,3.88,3.35,2,53,48,1.2,50,1.88,57,115.0,8,7,0,17,7,0,31,32,67,63,-0.17500000000000004
7,79.0,1.98,1.91,2,44,53,0.9,44,3.7,53,185.0,74.0,2.9,2.93,2,50,57,0.8,34,1.45,59,185.0,11,4,0,21,13,0,28,37,74,72,0.11568627450980384
10,77.0,2.62,2.55,5,48,46,0.0,18,0.95,55,170.0,70.0,1.97,2.92,2,46,68,0.0,42,1.22,72,170.0,13,6,0,16,2,0,35,34,73,71,-0.20467836257309935
3,66.0,2.55,2.57,2,43,56,1.1,23,0.62,44,125.0,65.0,3.04,1.83,4,29,55,0.6,42,5.15,47,125.0,19,7,0,23,10,0,34,33,66,64,0.03379953379953371
7,77.0,1.81,2.84,4,44,58,0.1,40,1.39,85,185.0,74.0,2.76,3.0,2,40,55,0.0,27,1.03,77,185.0,21,4,0,17,7,0,29,31,73,73,0.1316666666666666
6,71.0,3.05,3.09,2,43,57,0.7,38,2.43,50,155.0,73.0,3.56,2.67,4,43,43,0.4,27,1.25,45,155.0,17,3,0,13,6,0,32,32,70,72,0.1657894736842105
13,69.0,5.31,3.56,0,33,53,0.0,25,0.4,0,125.0,67.0,3.77,4.08,2,41,58,0.0,50,0.7,71,125.0,3,3,0,5,3,0,29,27,66,65,-0.125
