f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f1_wins,f1_losses,f2_wins,f2_losses,f1_age,f2_age
72.0,3.97,5.51,4,49,56,1.2,37,1.55,61,70.0,9.67,8.57,2,55,54,0.0,0,0.0,80,25,6,21,2,29,30
75.0,2.34,3.56,2,39,57,1.2,55,0.58,36,76.0,2.25,2.9,2,50,46,0.7,39,2.86,61,30,13,19,8,34,30
80.0,2.6,4.46,5,50,66,0.4,0,0.0,85,74.0,2.85,4.05,4,41,66,0.6,45,1.43,80,18,0,14,4,29,25
67.0,4.73,4.8,2,38,53,0.5,30,0.35,38,62.0,3.88,3.35,2,53,48,1.2,50,1.88,57,8,7,17,7,31,32
79.0,1.98,1.91,2,44,53,0.9,44,3.7,53,74.0,2.9,2.93,2,50,57,0.8,34,1.45,59,11,4,21,13,28,37
77.0,2.62,2.55,5,48,46,0.0,18,0.95,55,70.0,1.97,2.92,2,46,68,0.0,42,1.22,72,13,6,16,2,35,34
66.0,2.55,2.57,2,43,56,1.1,23,0.62,44,65.0,3.04,1.83,4,29,55,0.6,42,5.15,47,19,7,23,10,34,33
77.0,1.81,2.84,4,44,58,0.1,40,1.39,85,74.0,2.76,3.0,2,40,55,0.0,27,1.03,77,21,4,17,7,29,31
71.0,3.05,3.09,2,43,57,0.7,38,2.43,50,73.0,3.56,2.67,4,43,43,0.4,27,1.25,45,17,3,13,6,32,32
69.0,5.31,3.56,0,33,53,0.0,25,0.4,0,67.0,3.77,4.08,2,41,58,0.0,50,0.7,71,3,3,5,3,29,27
75.0,2.25,2.06,4,38,60,0.5,39,1.98,84,75.0,2.96,2.84,2,40,62,0.8,44,1.66,66,35,12,17,7,37,29
75.0,3.25,2.33,2,56,59,0.0,75,1.73,100,81.0,1.87,1.68,2,38,48,0.4,33,0.41,58,9,1,10,2,32,26
