weight_class,f1_reach,f1_stance,f1_weight,f2_reach,f2_stance,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,slpm_diff,sapm_diff,stk_atk_diff,stk_def_diff,stk_acc_diff,td_acc_diff,td_def_diff
6,72.0,4,155.0,70.0,2,155.0,25,6,0,21,2,0,29,30,69,71,-3.0600000000000005,-5.699999999999999,-6,2,-6,37,-19
10,75.0,2,170.0,76.0,2,170.0,30,13,0,19,8,1,34,30,74,71,0.6600000000000001,0.08999999999999986,-11,11,-11,16,-25
7,80.0,5,185.0,74.0,4,185.0,18,0,0,14,4,1,29,25,76,72,0.41000000000000014,-0.25,9,0,9,-45,5
14,67.0,2,115.0,62.0,2,115.0,8,7,0,17,7,0,31,32,67,63,1.4499999999999997,0.8500000000000005,-15,5,-15,-20,-19
7,79.0,2,185.0,74.0,2,185.0,11,4,0,21,13,0,28,37,74,72,-1.0200000000000002,-0.9199999999999999,-6,-4,-6,10,-6
10,77.0,5,170.0,70.0,2,170.0,13,6,0,16,2,0,35,34,73,71,-0.3700000000000001,0.6500000000000001,2,-22,2,-24,-17
3,66.0,2,125.0,65.0,4,125.0,19,7,0,23,10,0,34,33,66,64,0.7399999999999998,-0.4900000000000002,14,1,14,-19,-3
7,77.0,4,185.0,74.0,2,185.0,21,4,0,17,7,0,29,31,73,73,-0.16000000000000014,-0.9499999999999997,4,3,4,13,8
6,71.0,2,155.0,73.0,4,155.0,17,3,0,13,6,0,32,32,70,72,0.41999999999999993,-0.5100000000000002,0,14,0,11,5
13,69.0,0,125.0,67.0,2,125.0,3,3,0,5,3,0,29,27,66,65,-0.52,1.5399999999999996,-8,-5,-8,-25,-71
10,75.0,4,170.0,75.0,2,170.0,35,12,0,17,7,0,37,29,74,74,-0.7799999999999998,-0.71,-2,-2,-2,-5,18
4,75.0,2,245.0,81.0,2,250.0,9,1,0,10,2,0,32,26,73,77,0.6500000000000001,1.38,18,11,18,42,42
0,67.0,2,135.0,69.0,4,135.0,22,8,1,10,4,0,29,31,66,67,0.3900000000000001,-0.79,-15,9,-15,-40,2
0,73.0,2,135.0,67.0,4,135.0,8,6,0,13,3,0,37,33,68,66,-1.88,0.07000000000000028,0,-2,0,16,30
6,77.0,2,170.0,75.0,2,155.0,18,5,0,20,8,0,26,32,69,71,-0.10999999999999988,-0.98,-1,-8,-1,-2,-6
2,70.0,2,145.0,68.0,2,145.0,26,11,0,22,7,1,35,37,68,66,0.9899999999999998,1.2599999999999998,10,-8,10,19,-5
4,78.0,4,264.0,78.0,2,250.0,8,2,0,11,6,0,31,29,73,76,-2.4399999999999995,-3.19,16,6,16,66,-41
7,76.0,2,205.0,78.0,2,185.0,21,7,0,22,6,0,34,37,74,73,2.7800000000000002,0.28,8,1,8,8,25
0,71.0,2,135.0,71.0,2,135.0,18,3,0,15,2,0,29,26,67,67,1.4399999999999995,-2.79,5,11,5,-19,-27
6,71.0,4,155.0,75.0,5,155.0,31,13,0,20,8,0,35,28,68,72,-1.9500000000000006,-1.8299999999999996,-4,4,-4,9,-31
10,74.0,4,170.0,72.0,2,170.0,14,3,0,15,6,0,35,31,73,69,1.08,-1.1699999999999997,9,4,9,-8,-8
0,68.0,2,135.0,69.0,2,135.0,9,4,0,15,3,0,27,26,66,66,0.79,-1.5899999999999999,-3,-10,-3,-6,9
10,73.0,2,170.0,75.0,2,170.0,24,8,1,15,3,1,34,25,71,72,-1.25,0.040000000000000036,-7,-13,-7,49,-23
5,76.0,2,205.0,79.0,2,205.0,10,7,0,14,4,0,38,29,74,75,-0.1900000000000004,1.17,4,-4,4,-9,-55
10,73.0,2,170.0,73.0,4,170.0,17,5,0,34,10,2,29,34,72,71,0.4700000000000002,-0.75,0,1,0,-23,1
11,67.0,2,135.0,69.0,2,135.0,10,8,0,19,4,0,30,30,67,68,-0.9499999999999997,0.7000000000000002,-4,9,-4,-21,-16
7,71.0,4,185.0,72.0,2,185.0,16,5,0,26,8,0,27,39,69,73,1.21,0.19999999999999973,-3,-3,-3,-3,2
14,64.0,5,115.0,63.0,2,115.0,4,5,0,7,1,0,27,25,63,64,0.3099999999999996,-0.8700000000000001,12,-13,12,30,28
0,67.0,2,135.0,66.0,5,135.0,31,9,0,19,10,0,28,32,63,66,0.35000000000000053,-1.7100000000000009,-5,2,-5,32,-17
7,74.0,4,185.0,74.0,4,185.0,26,14,0,24,8,0,41,40,72,73,-0.9999999999999998,1.26,-7,-11,-7,-5,-22
7,78.0,4,185.0,74.0,4,185.0,14,8,0,9,2,0,33,28,73,73,-1.2600000000000002,0.6399999999999999,-10,-11,-10,-4,31
4,74.0,2,264.0,80.0,2,240.0,14,6,0,57,13,1,27,41,75,74,0.4500000000000002,2.47,0,3,0,-2,80
6,70.0,2,155.0,66.0,4,155.0,10,3,0,14,5,0,32,34,66,66,0.0900000000000003,-0.81,4,-2,4,17,17
10,76.0,2,170.0,73.0,2,170.0,20,3,0,21,6,0,27,32,73,71,0.16000000000000014,0.5900000000000003,-4,3,-4,43,33
10,72.0,2,170.0,74.0,2,170.0,14,4,0,15,3,0,27,34,71,71,1.5999999999999999,1.4899999999999998,1,-6,1,14,-25
7,78.0,2,185.0,77.0,2,185.0,28,9,0,20,5,0,37,30,73,73,-3.0,0.43000000000000016,-8,-4,-8,-9,-47
10,76.0,4,170.0,77.0,2,170.0,18,4,0,13,1,0,31,36,70,72,-0.8500000000000001,-1.9700000000000002,5,23,5,2,30
7,81.0,2,205.0,73.0,2,185.0,8,3,0,11,3,0,29,30,76,73,-2.1,-0.31999999999999984,-22,-31,-22,-26,-80
10,76.0,5,170.0,72.0,4,170.0,16,1,0,28,9,0,31,41,72,73,2.7799999999999994,0.16000000000000014,9,-3,9,25,39
14,66.0,2,115.0,66.0,0,115.0,11,3,0,9,0,0,25,28,65,65,0.4299999999999997,2.16,-24,15,-24,-29,-37
5,77.0,4,205.0,77.0,5,185.0,12,0,0,13,4,0,29,34,76,71,1.31,-0.5799999999999996,1,-9,1,-17,33
0,69.0,2,145.0,68.0,4,135.0,7,2,0,8,5,0,27,39,68,66,-1.4299999999999997,0.19000000000000017,-12,1,-12,10,-11
13,69.0,2,125.0,64.0,4,125.0,11,3,0,6,3,1,29,23,66,64,3.1199999999999997,-0.18999999999999995,8,29,8,-54,16
10,71.0,2,170.0,75.0,2,170.0,14,4,0,17,7,1,32,27,70,71,-0.39999999999999947,-1.75,-11,14,-11,4,14
10,67.0,2,170.0,75.0,4,185.0,26,3,0,23,7,0,37,34,66,72,-0.03000000000000025,-0.2599999999999998,15,5,15,8,-12
3,70.0,2,125.0,67.0,2,125.0,16,5,1,21,4,0,25,28,67,65,-1.2800000000000002,-0.22999999999999998,-12,7,-12,12,2
14,67.0,2,115.0,66.0,2,115.0,8,2,0,6,3,0,30,29,68,64,-1.7500000000000004,-4.449999999999999,14,-3,14,100,5
2,71.0,4,145.0,71.0,4,145.0,14,7,0,21,8,0,24,30,71,68,-2.1,1.8599999999999999,0,-30,0,-54,6
2,70.0,0,145.0,72.0,2,135.0,17,5,1,10,8,0,29,28,67,70,-0.7200000000000002,-1.2000000000000002,4,9,4,0,12
0,69.0,0,135.0,66.0,2,135.0,19,8,1,13,6,0,38,38,68,66,-0.5,1.5299999999999998,-4,-1,-4,-32,-10
6,72.0,4,155.0,77.0,2,155.0,10,2,0,8,2,0,22,34,71,72,-3.45,1.93,-6,-9,-6,-64,-71
10,75.0,2,170.0,74.0,4,185.0,15,4,1,18,2,1,35,26,72,72,1.52,-0.2999999999999998,-2,0,-2,4,-4
10,80.0,2,170.0,76.0,2,170.0,21,8,0,14,9,0,31,28,75,74,2.63,-1.0599999999999996,6,17,6,46,10
2,69.0,2,145.0,70.0,4,145.0,9,3,0,15,1,0,24,24,68,68,-1.7299999999999998,0.9299999999999999,2,-15,2,-9,-48
2,72.0,4,145.0,71.0,2,145.0,15,4,0,20,6,0,30,26,70,70,-1.35,-0.25,14,-1,14,3,10
10,74.0,2,170.0,71.0,4,170.0,15,7,0,14,1,0,37,36,73,71,0.8600000000000003,0.4500000000000002,0,21,0,43,23
7,74.0,2,185.0,73.0,2,185.0,11,4,0,12,6,0,28,32,72,73,-0.77,-3.28,-1,-1,-1,24,-10
7,70.0,4,185.0,73.0,4,185.0,13,4,0,11,1,0,41,27,72,75,-0.22999999999999998,2.07,-11,-4,-11,34,6
11,65.0,2,135.0,68.0,4,135.0,10,4,0,5,3,0,36,30,67,66,0.48999999999999977,1.06,8,-5,8,-44,32
10,76.0,0,170.0,75.0,4,170.0,12,6,0,11,3,0,29,25,73,71,-0.6499999999999999,0.1899999999999995,4,-4,4,-29,63
13,63.0,0,125.0,62.0,2,125.0,7,4,0,10,2,0,23,28,65,64,-4.3100000000000005,-2.2,1,-14,1,14,-40
7,75.0,2,185.0,75.0,2,185.0,15,10,0,17,3,0,37,30,75,73,-0.9000000000000004,0.9199999999999999,13,-2,13,4,1
