weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_sub_avg,f1_td_avg,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_sub_avg,f2_td_avg,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,stk_acc_diff,stk_def_diff,td_acc_diff,td_def_diff
6,72.0,3.97,5.51,4,1.2,1.55,155.0,70.0,9.67,8.57,2,0.0,0.0,155.0,25,6,0,21,2,0,29,30,69,71,-6,2,37,-19
10,75.0,2.34,3.56,2,1.2,0.58,170.0,76.0,2.25,2.9,2,0.7,2.86,170.0,30,13,0,19,8,1,34,30,74,71,-11,11,16,-25
7,80.0,2.6,4.46,5,0.4,0.0,185.0,74.0,2.85,4.05,4,0.6,1.43,185.0,18,0,0,14,4,1,29,25,76,72,9,0,-45,5
14,67.0,4.73,4.8,2,0.5,0.35,115.0,62.0,3.88,3.35,2,1.2,1.88,115.0,8,7,0,17,7,0,31,32,67,63,-15,5,-20,-19
7,79.0,1.98,1.91,2,0.9,3.7,185.0,74.0,2.9,2.93,2,0.8,1.45,185.0,11,4,0,21,13,0,28,37,74,72,-6,-4,10,-6
10,77.0,2.62,2.55,5,0.0,0.95,170.0,70.0,1.97,2.92,2,0.0,1.22,170.0,13,6,0,16,2,0,35,34,73,71,2,-22,-24,-17
3,66.0,2.55,2.57,2,1.1,0.62,125.0,65.0,3.04,1.83,4,0.6,5.15,125.0,19,7,0,23,10,0,34,33,66,64,14,1,-19,-3
7,77.0,1.81,2.84,4,0.1,1.39,185.0,74.0,2.76,3.0,2,0.0,1.03,185.0,21,4,0,17,7,0,29,31,73,73,4,3,13,8
6,71.0,3.05,3.09,2,0.7,2.43,155.0,73.0,3.56,2.67,4,0.4,1.25,155.0,17,3,0,13,6,0,32,32,70,72,0,14,11,5
13,69.0,5.31,3.56,0,0.0,0.4,125.0,67.0,3.77,4.08,2,0.0,0.7,125.0,3,3,0,5,3,0,29,27,66,65,-8,-5,-25,-71
10,75.0,2.25,2.06,4,0.5,1.98,170.0,75.0,2.96,2.84,2,0.8,1.66,170.0,35,12,0,17,7,0,37,29,74,74,-2,-2,-5,18
4,75.0,3.25,2.33,2,0.0,1.73,245.0,81.0,1.87,1.68,2,0.4,0.41,250.0,9,1,0,10,2,0,32,26,73,77,18,11,42,42
0,67.0,2.94,3.52,2,0.1,0.52,135.0,69.0,3.73,3.13,4,1.3,3.32,135.0,22,8,1,10,4,0,29,31,66,67,-15,9,-40,2
0,73.0,4.12,4.12,2,0.5,2.71,135.0,67.0,4.05,6.0,4,0.4,0.37,135.0,8,6,0,13,3,0,37,33,68,66,0,-2,16,30
6,77.0,3.18,3.9,2,0.9,3.23,170.0,75.0,4.16,4.01,2,0.1,0.49,155.0,18,5,0,20,8,0,26,32,69,71,-1,-8,-2,-6
2,70.0,3.65,4.59,2,0.5,1.06,145.0,68.0,2.39,3.6,2,0.3,2.36,145.0,26,11,0,22,7,1,35,37,68,66,10,-8,19,-5
4,78.0,2.57,3.37,4,0.0,0.96,264.0,78.0,5.76,5.81,2,0.0,0.0,250.0,8,2,0,11,6,0,31,29,73,76,16,6,66,-41
7,76.0,2.19,4.44,2,0.1,0.83,205.0,78.0,1.91,1.66,2,0.0,2.55,185.0,21,7,0,22,6,0,34,37,74,73,8,1,8,25
0,71.0,1.95,4.85,2,0.8,1.91,135.0,71.0,4.74,3.41,2,0.5,3.72,135.0,18,3,0,15,2,0,29,26,67,67,5,11,-19,-27
6,71.0,2.89,2.78,4,2.0,1.77,155.0,75.0,4.72,4.73,5,0.4,0.4,155.0,31,13,0,20,8,0,35,28,68,72,-4,4,9,-31
10,74.0,1.86,2.89,4,0.2,2.13,170.0,72.0,3.03,1.81,2,0.1,3.72,170.0,14,3,0,15,6,0,35,31,73,69,9,4,-8,-8
0,68.0,2.2,3.75,2,0.0,6.75,135.0,69.0,3.79,2.96,2,0.2,6.53,135.0,9,4,0,15,3,0,27,26,66,66,-3,-10,-6,9
10,73.0,3.23,2.91,2,0.3,1.32,170.0,75.0,3.19,4.16,2,0.3,0.32,170.0,24,8,1,15,3,1,34,25,71,72,-7,-13,49,-23
5,76.0,3.35,4.26,2,0.1,4.49,205.0,79.0,2.18,4.45,2,0.0,4.98,205.0,10,7,0,14,4,0,38,29,74,75,4,-4,-9,-55
10,73.0,2.45,2.7,2,1.1,0.68,170.0,73.0,3.2,2.23,4,0.3,1.65,170.0,17,5,0,34,10,2,29,34,72,71,0,1,-23,1
11,67.0,3.33,3.39,2,0.9,1.14,135.0,69.0,2.63,4.34,2,0.7,2.33,135.0,10,8,0,19,4,0,30,30,67,68,-4,9,-21,-16
7,71.0,3.01,3.75,4,0.1,0.8,185.0,72.0,2.81,2.54,2,1.4,2.46,185.0,16,5,0,26,8,0,27,39,69,73,-3,-3,-3,2
14,64.0,3.2,3.55,5,1.8,1.53,115.0,63.0,4.07,3.24,2,0.9,0.46,115.0,4,5,0,7,1,0,27,25,63,64,12,-13,30,28
0,67.0,4.27,5.36,2,0.6,0.56,135.0,66.0,5.98,5.01,5,0.6,1.25,135.0,31,9,0,19,10,0,28,32,63,66,-5,2,32,-17
7,74.0,2.83,1.59,4,0.6,1.02,185.0,74.0,1.57,2.59,4,0.4,1.21,185.0,26,14,0,24,8,0,41,40,72,73,-7,-11,-5,-22
7,78.0,2.44,1.9,4,0.5,2.69,185.0,74.0,1.8,3.16,4,0.8,1.07,185.0,14,8,0,9,2,0,33,28,73,73,-10,-11,-4,31
4,74.0,6.08,3.98,2,0.0,1.54,264.0,80.0,3.61,3.53,2,2.4,2.69,240.0,14,6,0,57,13,1,27,41,75,74,0,3,-2,80
6,70.0,2.8,2.74,2,0.7,2.42,155.0,66.0,3.61,2.65,4,0.0,0.86,155.0,10,3,0,14,5,0,32,34,66,66,4,-2,17,17
10,76.0,3.62,4.34,2,0.5,1.37,170.0,73.0,3.03,4.18,2,0.6,0.45,170.0,20,3,0,21,6,0,27,32,73,71,-4,3,43,33
10,72.0,3.69,3.01,2,1.0,1.39,170.0,74.0,2.2,1.41,2,0.0,1.76,170.0,14,4,0,15,3,0,27,34,71,71,1,-6,14,-25
7,78.0,2.99,2.13,2,1.1,2.1,185.0,77.0,2.56,5.13,2,0.7,2.23,185.0,28,9,0,20,5,0,37,30,73,73,-8,-4,-9,-47
10,76.0,1.73,2.38,4,0.2,1.5,170.0,77.0,3.7,3.23,2,0.0,1.85,170.0,18,4,0,13,1,0,31,36,70,72,5,23,2,30
7,81.0,3.64,0.65,2,0.0,0.0,205.0,73.0,3.96,2.75,2,1.1,1.08,185.0,8,3,0,11,3,0,29,30,76,73,-22,-31,-26,-80
10,76.0,2.17,4.6,5,0.2,3.44,170.0,72.0,2.01,1.82,4,1.0,2.49,170.0,16,1,0,28,9,0,31,41,72,73,9,-3,25,39
14,66.0,3.61,5.25,2,0.6,0.19,115.0,66.0,1.45,4.82,0,0.6,6.47,115.0,11,3,0,9,0,0,25,28,65,65,-24,15,-29,-37
5,77.0,2.24,5.03,4,0.4,0.39,205.0,77.0,2.82,3.72,5,0.0,0.18,185.0,12,0,0,13,4,0,29,34,76,71,1,-9,-17,33
0,69.0,2.14,1.37,2,0.9,1.79,145.0,68.0,1.95,2.8,4,0.3,2.8,135.0,7,2,0,8,5,0,27,39,68,66,-12,1,10,-11
13,69.0,3.42,5.02,2,0.5,1.75,125.0,64.0,3.61,1.9,4,0.8,0.8,125.0,11,3,0,6,3,1,29,23,66,64,8,29,-54,16
10,71.0,3.59,4.78,2,0.0,1.05,170.0,75.0,5.34,5.18,2,1.0,0.82,170.0,14,4,0,17,7,1,32,27,70,71,-11,14,4,14
10,67.0,2.49,2.44,2,0.6,4.11,170.0,75.0,2.75,2.47,4,0.8,0.75,185.0,26,3,0,23,7,0,37,34,66,72,15,5,8,-12
3,70.0,3.24,3.12,2,0.6,2.02,125.0,67.0,3.47,4.4,2,1.4,0.96,125.0,16,5,1,21,4,0,25,28,67,65,-12,7,12,2
