weight_class,f1_reach,f1_stance,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_stance,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height
6,72.0,4,1.2,37,1.55,61,155.0,70.0,2,0.0,0,0.0,80,155.0,25,6,0,21,2,0,29,30,69,71
10,75.0,2,1.2,55,0.58,36,170.0,76.0,2,0.7,39,2.86,61,170.0,30,13,0,19,8,1,34,30,74,71
7,80.0,5,0.4,0,0.0,85,185.0,74.0,4,0.6,45,1.43,80,185.0,18,0,0,14,4,1,29,25,76,72
14,67.0,2,0.5,30,0.35,38,115.0,62.0,2,1.2,50,1.88,57,115.0,8,7,0,17,7,0,31,32,67,63
7,79.0,2,0.9,44,3.7,53,185.0,74.0,2,0.8,34,1.45,59,185.0,11,4,0,21,13,0,28,37,74,72
10,77.0,5,0.0,18,0.95,55,170.0,70.0,2,0.0,42,1.22,72,170.0,13,6,0,16,2,0,35,34,73,71
3,66.0,2,1.1,23,0.62,44,125.0,65.0,4,0.6,42,5.15,47,125.0,19,7,0,23,10,0,34,33,66,64
7,77.0,4,0.1,40,1.39,85,185.0,74.0,2,0.0,27,1.03,77,185.0,21,4,0,17,7,0,29,31,73,73
6,71.0,2,0.7,38,2.43,50,155.0,73.0,4,0.4,27,1.25,45,155.0,17,3,0,13,6,0,32,32,70,72
13,69.0,0,0.0,25,0.4,0,125.0,67.0,2,0.0,50,0.7,71,125.0,3,3,0,5,3,0,29,27,66,65
10,75.0,4,0.5,39,1.98,84,170.0,75.0,2,0.8,44,1.66,66,170.0,35,12,0,17,7,0,37,29,74,74
4,75.0,2,0.0,75,1.73,100,245.0,81.0,2,0.4,33,0.41,58,250.0,9,1,0,10,2,0,32,26,73,77
0,67.0,2,0.1,20,0.52,73,135.0,69.0,4,1.3,60,3.32,71,135.0,22,8,1,10,4,0,29,31,66,67
0,73.0,2,0.5,41,2.71,100,135.0,67.0,4,0.4,25,0.37,70,135.0,8,6,0,13,3,0,37,33,68,66
6,77.0,2,0.9,42,3.23,74,170.0,75.0,2,0.1,44,0.49,80,155.0,18,5,0,20,8,0,26,32,69,71
2,70.0,2,0.5,50,1.06,60,145.0,68.0,2,0.3,31,2.36,65,145.0,26,11,0,22,7,1,35,37,68,66
