weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_td_def,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height
6,72.0,3.97,5.51,4,49,56,61,155.0,70.0,9.67,8.57,2,55,54,80,155.0,25,6,0,21,2,0,29,30,69,71
10,75.0,2.34,3.56,2,39,57,36,170.0,76.0,2.25,2.9,2,50,46,61,170.0,30,13,0,19,8,1,34,30,74,71
7,80.0,2.6,4.46,5,50,66,85,185.0,74.0,2.85,4.05,4,41,66,80,185.0,18,0,0,14,4,1,29,25,76,72
14,67.0,4.73,4.8,2,38,53,38,115.0,62.0,3.88,3.35,2,53,48,57,115.0,8,7,0,17,7,0,31,32,67,63
7,79.0,1.98,1.91,2,44,53,53,185.0,74.0,2.9,2.93,2,50,57,59,185.0,11,4,0,21,13,0,28,37,74,72
10,77.0,2.62,2.55,5,48,46,55,170.0,70.0,1.97,2.92,2,46,68,72,170.0,13,6,0,16,2,0,35,34,73,71
3,66.0,2.55,2.57,2,43,56,44,125.0,65.0,3.04,1.83,4,29,55,47,125.0,19,7,0,23,10,0,34,33,66,64
7,77.0,1.81,2.84,4,44,58,85,185.0,74.0,2.76,3.0,2,40,55,77,185.0,21,4,0,17,7,0,29,31,73,73
6,71.0,3.05,3.09,2,43,57,50,155.0,73.0,3.56,2.67,4,43,43,45,155.0,17,3,0,13,6,0,32,32,70,72
13,69.0,5.31,3.56,0,33,53,0,125.0,67.0,3.77,4.08,2,41,58,71,125.0,3,3,0,5,3,0,29,27,66,65
10,75.0,2.25,2.06,4,38,60,84,170.0,75.0,2.96,2.84,2,40,62,66,170.0,35,12,0,17,7,0,37,29,74,74
4,75.0,3.25,2.33,2,56,59,100,245.0,81.0,1.87,1.68,2,38,48,58,250.0,9,1,0,10,2,0,32,26,73,77
0,67.0,2.94,3.52,2,35,64,73,135.0,69.0,3.73,3.13,4,50,55,71,135.0,22,8,1,10,4,0,29,31,66,67
0,73.0,4.12,4.12,2,51,52,100,135.0,67.0,4.05,6.0,4,51,54,70,135.0,8,6,0,13,3,0,37,33,68,66
6,77.0,3.18,3.9,2,42,52,74,170.0,75.0,4.16,4.01,2,43,60,80,155.0,18,5,0,20,8,0,26,32,69,71
2,70.0,3.65,4.59,2,49,61,60,145.0,68.0,2.39,3.6,2,39,69,65,145.0,26,11,0,22,7,1,35,37,68,66
4,78.0,2.57,3.37,4,59,57,36,264.0,78.0,5.76,5.81,2,43,51,77,250.0,8,2,0,11,6,0,31,29,73,76
7,76.0,2.19,4.44,2,47,57,68,205.0,78.0,1.91,1.66,2,39,56,43,185.0,21,7,0,22,6,0,34,37,74,73
0,71.0,1.95,4.85,2,50,66,51,135.0,71.0,4.74,3.41,2,45,55,78,135.0,18,3,0,15,2,0,29,26,67,67
6,71.0,2.89,2.78,4,40,59,47,155.0,75.0,4.72,4.73,5,44,55,78,155.0,31,13,0,20,8,0,35,28,68,72
10,74.0,1.86,2.89,4,40,63,58,170.0,72.0,3.03,1.81,2,31,59,66,170.0,14,3,0,15,6,0,35,31,73,69
0,68.0,2.2,3.75,2,37,55,80,135.0,69.0,3.79,2.96,2,40,65,71,135.0,9,4,0,15,3,0,27,26,66,66
10,73.0,3.23,2.91,2,40,49,62,170.0,75.0,3.19,4.16,2,47,62,85,170.0,24,8,1,15,3,1,34,25,71,72
5,76.0,3.35,4.26,2,50,55,28,205.0,79.0,2.18,4.45,2,46,59,83,205.0,10,7,0,14,4,0,38,29,74,75
10,73.0,2.45,2.7,2,36,59,64,170.0,73.0,3.2,2.23,4,36,58,63,170.0,17,5,0,34,10,2,29,34,72,71
11,67.0,3.33,3.39,2,45,64,64,135.0,69.0,2.63,4.34,2,49,55,80,135.0,10,8,0,19,4,0,30,30,67,68
7,71.0,3.01,3.75,4,43,59,62,185.0,72.0,2.81,2.54,2,46,62,60,185.0,16,5,0,26,8,0,27,39,69,73
14,64.0,3.2,3.55,5,44,51,28,115.0,63.0,4.07,3.24,2,32,64,0,115.0,4,5,0,7,1,0,27,25,63,64
0,67.0,4.27,5.36,2,40,56,67,135.0,66.0,5.98,5.01,5,45,54,84,135.0,31,9,0,19,10,0,28,32,63,66
7,74.0,2.83,1.59,4,46,50,53,185.0,74.0,1.57,2.59,4,53,61,75,185.0,26,14,0,24,8,0,41,40,72,73
7,78.0,2.44,1.9,4,42,53,84,185.0,74.0,1.8,3.16,4,52,64,53,185.0,14,8,0,9,2,0,33,28,73,73
4,74.0,6.08,3.98,2,51,52,100,264.0,80.0,3.61,3.53,2,51,49,20,240.0,14,6,0,57,13,1,27,41,75,74
6,70.0,2.8,2.74,2,39,57,100,155.0,66.0,3.61,2.65,4,35,59,83,155.0,10,3,0,14,5,0,32,34,66,66
10,76.0,3.62,4.34,2,35,64,81,170.0,73.0,3.03,4.18,2,39,61,48,170.0,20,3,0,21,6,0,27,32,73,71
10,72.0,3.69,3.01,2,46,50,75,170.0,74.0,2.2,1.41,2,45,56,100,170.0,14,4,0,15,3,0,27,34,71,71
7,78.0,2.99,2.13,2,40,52,30,185.0,77.0,2.56,5.13,2,48,56,77,185.0,28,9,0,20,5,0,37,30,73,73
10,76.0,1.73,2.38,4,43,70,80,170.0,77.0,3.7,3.23,2,38,47,50,170.0,18,4,0,13,1,0,31,36,70,72
7,81.0,3.64,0.65,2,26,21,0,205.0,73.0,3.96,2.75,2,48,52,80,185.0,8,3,0,11,3,0,29,30,76,73
10,76.0,2.17,4.6,5,52,60,100,170.0,72.0,2.01,1.82,4,43,63,61,170.0,16,1,0,28,9,0,31,41,72,73
14,66.0,3.61,5.25,2,41,63,63,115.0,66.0,1.45,4.82,0,65,48,100,115.0,11,3,0,9,0,0,25,28,65,65
5,77.0,2.24,5.03,4,52,57,84,205.0,77.0,2.82,3.72,5,51,66,51,185.0,12,0,0,13,4,0,29,34,76,71
0,69.0,2.14,1.37,2,40,52,64,145.0,68.0,1.95,2.8,4,52,51,75,135.0,7,2,0,8,5,0,27,39,68,66
13,69.0,3.42,5.02,2,53,67,62,125.0,64.0,3.61,1.9,4,45,38,46,125.0,11,3,0,6,3,1,29,23,66,64
10,71.0,3.59,4.78,2,42,65,78,170.0,75.0,5.34,5.18,2,53,51,64,170.0,14,4,0,17,7,1,32,27,70,71
10,67.0,2.49,2.44,2,47,58,50,170.0,75.0,2.75,2.47,4,32,53,62,185.0,26,3,0,23,7,0,37,34,66,72
3,70.0,3.24,3.12,2,34,63,62,125.0,67.0,3.47,4.4,2,46,56,60,125.0,16,5,1,21,4,0,25,28,67,65
14,67.0,2.77,3.65,2,58,55,88,115.0,66.0,7.22,5.4,2,44,58,83,115.0,8,2,0,6,3,0,30,29,68,64
2,71.0,4.79,2.22,4,41,41,62,145.0,71.0,2.93,4.32,4,41,71,56,145.0,14,7,0,21,8,0,24,30,71,68
2,70.0,3.13,3.93,0,39,69,68,145.0,72.0,4.33,4.65,2,35,60,56,135.0,17,5,1,10,8,0,29,28,67,70
0,69.0,4.68,3.47,0,42,53,52,135.0,66.0,3.15,3.97,2,46,54,62,135.0,19,8,1,13,6,0,38,38,68,66
6,72.0,3.73,1.95,4,44,50,0,155.0,77.0,1.8,5.4,2,50,59,71,155.0,10,2,0,8,2,0,22,34,71,72
10,75.0,2.73,3.93,2,44,59,78,170.0,74.0,3.03,2.41,4,46,59,82,185.0,15,4,1,18,2,1,35,26,72,72
10,80.0,2.22,3.86,2,46,56,60,170.0,76.0,3.28,1.23,2,40,39,50,170.0,21,8,0,14,9,0,31,28,75,74
