event_date,event_name,fighter1,fighter2,winner,round_,time,win_method_finish,win_method_type
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Dustin Poirier,Justin Gaethje,Dustin Poirier,4,0.33,30,2
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Carlos Condit,Alex Oliveira,Alex Oliveira,2,3.17,10,7
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Israel Adesanya,Marvin Vettori,Israel Adesanya,3,5.0,22,6
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Cortney Casey,Michelle Waterson,Michelle Waterson,3,5.0,22,6
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Antonio Carlos Junior,Tim Boetsch,Antonio Carlos Junior,1,4.28,32,7
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Ricky Rainey,Muslim Salikhov,Muslim Salikhov,2,4.12,30,2
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,John Moraga,Wilson Reis,John Moraga,3,5.0,22,8
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Krzysztof Jotko,Brad Tavares,Brad Tavares,3,2.16,30,2
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Gilbert Burns,Dan Moret,Gilbert Burns,2,0.59,30,2
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Shana Dobson,Lauren Mueller,Lauren Mueller,3,5.0,22,8
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Yushin Okami,Dhiego Lima,Yushin Okami,3,5.0,22,8
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Arjan Bhullar,Adam Wieczorek,Adam Wieczorek,2,1.59,25,7
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Alejandro Perez,Matthew Lopez,Alejandro Perez,2,3.42,31,2
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Patrick Williams,Luke Sanders,Luke Sanders,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Kevin Lee,Edson Barboza,Kevin Lee,5,2.18,22,2
April 21 2018,UFC Fight Night: Barboza vs. Lee,Cub Swanson,Frankie Edgar,Frankie Edgar,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Justin Willis,Chase Sherman,Justin Willis,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Thiago Santos,David Branch,David Branch,1,2.3,30,2
April 21 2018,UFC Fight Night: Barboza vs. Lee,Aljamain Sterling,Brett Johns,Aljamain Sterling,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Jim Miller,Dan Hooker,Dan Hooker,1,3.0,19,2
April 21 2018,UFC Fight Night: Barboza vs. Lee,Ryan LaFlare,Alex Garcia,Ryan LaFlare,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Merab Dvalishvili,Ricky Simon,Ricky Simon,3,5.0,22,2
April 21 2018,UFC Fight Night: Barboza vs. Lee,Siyar Bahadurzada,Luan Chagas,Siyar Bahadurzada,2,2.4,16,2
April 21 2018,UFC Fight Night: Barboza vs. Lee,Patrick Cummins,Corey Anderson,Corey Anderson,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Anthony Rocco Martin,Keita Nakamura,Anthony Rocco Martin,3,5.0,22,8
May 12 2018,UFC 224: Nunes vs. Pennington,Raquel Pennington,Amanda Nunes,Amanda Nunes,5,2.36,31,2
May 12 2018,UFC 224: Nunes vs. Pennington,Kelvin Gastelum,Jacare Souza,Kelvin Gastelum,3,5.0,22,6
May 12 2018,UFC 224: Nunes vs. Pennington,Amanda Cooper,Mackenzie Dern,Mackenzie Dern,1,2.27,32,7
May 12 2018,UFC 224: Nunes vs. Pennington,John Lineker,Brian Kelleher,John Lineker,3,3.43,30,2
May 12 2018,UFC 224: Nunes vs. Pennington,Vitor Belfort,Lyoto Machida,Lyoto Machida,2,1.0,16,2
May 12 2018,UFC 224: Nunes vs. Pennington,Cezar Ferreira,Karl Roberson,Cezar Ferreira,1,4.45,2,7
May 12 2018,UFC 224: Nunes vs. Pennington,Junior Albini,Aleksei Oleinik,Aleksei Oleinik,1,1.45,27,7
