event_date,event_name,fighter1,fighter2,winner,round_,time,win_method_finish,win_method_type
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Justin Gaethje,Dustin Poirier,Dustin Poirier,4,0.33,30,2
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Carlos Condit,Alex Oliveira,Alex Oliveira,2,3.17,10,7
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Marvin Vettori,Israel Adesanya,Israel Adesanya,3,5.0,22,6
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Cortney Casey,Michelle Waterson,Michelle Waterson,3,5.0,22,6
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Tim Boetsch,Antonio Carlos Junior,Antonio Carlos Junior,1,4.28,32,7
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Ricky Rainey,Muslim Salikhov,Muslim Salikhov,2,4.12,30,2
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Wilson Reis,John Moraga,John Moraga,3,5.0,22,8
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Krzysztof Jotko,Brad Tavares,Brad Tavares,3,2.16,30,2
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Dan Moret,Gilbert Burns,Gilbert Burns,2,0.59,30,2
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Shana Dobson,Lauren Mueller,Lauren Mueller,3,5.0,22,8
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Dhiego Lima,Yushin Okami,Yushin Okami,3,5.0,22,8
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Arjan Bhullar,Adam Wieczorek,Adam Wieczorek,2,1.59,25,7
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Matthew Lopez,Alejandro Perez,Alejandro Perez,2,3.42,31,2
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Patrick Williams,Luke Sanders,Luke Sanders,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Edson Barboza,Kevin Lee,Kevin Lee,5,2.18,22,2
April 21 2018,UFC Fight Night: Barboza vs. Lee,Cub Swanson,Frankie Edgar,Frankie Edgar,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Chase Sherman,Justin Willis,Justin Willis,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Thiago Santos,David Branch,David Branch,1,2.3,30,2
April 21 2018,UFC Fight Night: Barboza vs. Lee,Brett Johns,Aljamain Sterling,Aljamain Sterling,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Jim Miller,Dan Hooker,Dan Hooker,1,3.0,19,2
April 21 2018,UFC Fight Night: Barboza vs. Lee,Alex Garcia,Ryan LaFlare,Ryan LaFlare,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Merab Dvalishvili,Ricky Simon,Ricky Simon,3,5.0,22,2
April 21 2018,UFC Fight Night: Barboza vs. Lee,Luan Chagas,Siyar Bahadurzada,Siyar Bahadurzada,2,2.4,16,2
April 21 2018,UFC Fight Night: Barboza vs. Lee,Patrick Cummins,Corey Anderson,Corey Anderson,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Keita Nakamura,Anthony Rocco Martin,Anthony Rocco Martin,3,5.0,22,8
May 12 2018,UFC 224: Nunes vs. Pennington,Raquel Pennington,Amanda Nunes,Amanda Nunes,5,2.36,31,2
May 12 2018,UFC 224: Nunes vs. Pennington,Jacare Souza,Kelvin Gastelum,Kelvin Gastelum,3,5.0,22,6
May 12 2018,UFC 224: Nunes vs. Pennington,Amanda Cooper,Mackenzie Dern,Mackenzie Dern,1,2.27,32,7
May 12 2018,UFC 224: Nunes vs. Pennington,Brian Kelleher,John Lineker,John Lineker,3,3.43,30,2
May 12 2018,UFC 224: Nunes vs. Pennington,Vitor Belfort,Lyoto Machida,Lyoto Machida,2,1.0,16,2
May 12 2018,UFC 224: Nunes vs. Pennington,Karl Roberson,Cezar Ferreira,Cezar Ferreira,1,4.45,2,7
May 12 2018,UFC 224: Nunes vs. Pennington,Junior Albini,Aleksei Oleinik,Aleksei Oleinik,1,1.45,27,7
May 12 2018,UFC 224: Nunes vs. Pennington,Nick Hein,Davi Ramos,Davi Ramos,1,4.15,32,7
May 12 2018,UFC 224: Nunes vs. Pennington,Sean Strickland,Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,1,3.4,16,2
May 12 2018,UFC 224: Nunes vs. Pennington,Sultan Aliev,Warlley Alves,Warlley Alves,2,5.0,22,2
May 12 2018,UFC 224: Nunes vs. Pennington,Thales Leites,Jack Hermansson,Jack Hermansson,3,2.1,31,2
May 12 2018,UFC 224: Nunes vs. Pennington,Alberto Mina,Ramazan Emeev,Ramazan Emeev,3,5.0,22,8
May 12 2018,UFC 224: Nunes vs. Pennington,James Bochnovic,Markus Perez,Markus Perez,1,4.28,32,7
May 19 2018,UFC Fight Night: Maia vs. Usman,Demian Maia,Kamaru Usman,Kamaru Usman,5,5.0,22,8
May 19 2018,UFC Fight Night: Maia vs. Usman,Alexa Grasso,Tatiana Suarez,Tatiana Suarez,1,2.44,32,7
May 19 2018,UFC Fight Night: Maia vs. Usman,Jared Cannonier,Dominick Reyes,Dominick Reyes,1,2.55,30,2
May 19 2018,UFC Fight Night: Maia vs. Usman,Diego Rivas,Guido Cannetti,Guido Cannetti,3,5.0,22,8
May 19 2018,UFC Fight Night: Maia vs. Usman,Veronica Macedo,Andrea Lee,Andrea Lee,3,5.0,22,8
May 19 2018,UFC Fight Night: Maia vs. Usman,Chad Laprise,Vicente Luque,Vicente Luque,1,4.16,30,2
May 19 2018,UFC Fight Night: Maia vs. Usman,Zak Cummings,Michel Prazeres,Michel Prazeres,3,5.0,22,6
May 19 2018,UFC Fight Night: Maia vs. Usman,Brandon Moreno,Alexandre Pantoja,Alexandre Pantoja,3,5.0,22,8
May 19 2018,UFC Fight Night: Maia vs. Usman,Syuri Kondo,Poliana Botelho,Poliana Botelho,1,0.33,16,2
May 19 2018,UFC Fight Night: Maia vs. Usman,Humberto Bandenay,Gabriel Benitez,Gabriel Benitez,1,0.39,33,2
May 19 2018,UFC Fight Night: Maia vs. Usman,Brandon Davis,Enrique Barzola,Enrique Barzola,3,5.0,22,8
May 19 2018,UFC Fight Night: Maia vs. Usman,Henry Briones,Frankie Saenz,Frankie Saenz,3,5.0,22,8
May 19 2018,UFC Fight Night: Maia vs. Usman,Felipe Silva,Claudio Puelles,Claudio Puelles,3,2.23,20,7
May 27 2018,UFC Fight Night: Thompson vs. Till,Stephen Thompson,Darren Till,Darren Till,5,5.0,22,8
May 27 2018,UFC Fight Night: Thompson vs. Till,Craig White,Neil Magny,Neil Magny,1,4.32,19,2
May 27 2018,UFC Fight Night: Thompson vs. Till,Mads Burnell,Arnold Allen,Arnold Allen,3,2.41,27,7
May 27 2018,UFC Fight Night: Thompson vs. Till,Jason Knight,Makwan Amirkhani,Makwan Amirkhani,3,5.0,22,6
May 27 2018,UFC Fight Night: Thompson vs. Till,Nordine Taleb,Claudio Silva,Claudio Silva,1,4.31,32,7
May 27 2018,UFC Fight Night: Thompson vs. Till,Eric Spicely,Darren Stewart,Darren Stewart,2,1.47,30,2
May 27 2018,UFC Fight Night: Thompson vs. Till,Daniel Kelly,Tom Breese,Tom Breese,1,3.33,30,2
May 27 2018,UFC Fight Night: Thompson vs. Till,Gina Mazany,Lina Lansberg,Lina Lansberg,3,5.0,22,8
May 27 2018,UFC Fight Night: Thompson vs. Till,Bradley Scott,Carlo Pedersoli,Carlo Pedersoli,3,5.0,22,6
May 27 2018,UFC Fight Night: Thompson vs. Till,Molly McCann,Gillian Robertson,Gillian Robertson,2,2.05,32,7
May 27 2018,UFC Fight Night: Thompson vs. Till,Trevor Smith,Elias Theodorou,Elias Theodorou,3,5.0,22,8
June 01 2018,UFC Fight Night: Rivera vs. Moraes,Jimmie Rivera,Marlon Moraes,Marlon Moraes,1,0.33,16,2
