weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,winner
Lightweight,70,1.27,2.35,Southpaw,59,61,1.1,62,3.24,90,155,71,3.4,6.35,Orthodox,56,59,0.2,34,1.52,69,145,23,1,0,25,1,0,31,34,70,66,0
Featherweight,71,4.03,4.78,Orthodox,46,53,0.8,28,0.79,63,145,70,4.43,4.17,Orthodox,37,62,0.1,37,1.07,58,145,15,3,0,18,2,0,30,38,71,66,0
Welterweight,73,4.29,8.27,Switch,49,68,0.6,0,0,71,170,78,3.3,4.39,Orthodox,47,54,0.6,33,0.68,71,170,13,2,0,16,4,0,26,32,71,75,0
Heavyweight,74,5.95,5.09,Southpaw,54,49,0,0,0,100,264,75,6.33,6.49,Orthodox,49,51,0.5,28,1.43,50,265,5,3,0,13,7,0,29,37,72,72,0
Light Heavyweight,79,2.49,2.96,Orthodox,61,54,1,36,0.97,52,205,78,4.02,3.37,Switch,38,50,0,0,0,71,205,9,3,0,13,5,0,31,29,75,75,1
Featherweight,73,3.13,2.96,Orthodox,43,59,0.5,0,0,82,145,70,3.28,5.63,Southpaw,61,55,0,0,0,76,145,10,1,0,7,1,0,28,31,70,69,0
Flyweight,66,8.99,6.57,Switch,37,52,0,0,0,100,125,67,3,6,Orthodox,61,49,1,25,0.97,66,125,13,6,0,7,2,0,33,27,66,65,1
Lightweight,74,4.28,4.13,Orthodox,45,54,0.2,35,2.62,72,155,69,3.93,1.87,Orthodox,37,43,1,0,0,25,155,15,5,0,11,0,0,28,20,72,70,0
Featherweight,68,2.27,4.54,Switch,69,58,0,72,4.07,80,145,67,5.87,3.42,Orthodox,50,31,1.9,25,0.97,20,145,10,2,0,12,4,0,30,31,67,66,0
Women's Strawweight,61,2.58,4.14,Orthodox,58,52,0.2,50,2.04,74,115,63,3.5,2.79,Orthodox,52,49,0,100,0.84,47,115,7,3,0,6,2,0,27,30,61,63,0
Featherweight,72,5.51,5.24,Orthodox,40,52,0,18,0.63,65,145,68,5.05,6.58,Switch,57,58,1.6,14,0.82,100,145,13,6,0,7,0,1,29,32,68,68,1
Lightweight,68,3.07,3.17,Orthodox,39,63,0,39,2.13,100,155,72,4.67,4.6,Orthodox,43,58,0,0,0,100,155,20,5,1,13,3,0,32,25,68,72,1
